TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,"google.com,pub-87","mopub.com, 252","rubiconproject.com, 16","aps.amazon.com,ea",hindsight,REMARKS
1536085833,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
com.sb.Scary.Cartoon.Cat.Horror.Gangster.Crime.Cat,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
com.free.turbo.vpn,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
1637444039,Horse Cart Riding-Horse Games,https://apps.apple.com/us/app/id1637444039,https://0xsq.ads-txt.site/app-ads.txt,True,"google.com, pub-8728712656723745, RESELLER, f08c47fec0942fa0; google.com, pub-8730472332781078, RESELLER; google.com, pub-8730472332781078, RESELLER, f08c47fec0942fa0; google.com, pub-8712365663617930, RESELLER; google.com, pub-8754757843517208, RESELLER; google.com, pub-8728712656723745, RESELLER",-,"rubiconproject.com, 16824, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16824, DIRECT; rubiconproject.com, 16698, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16418, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16834, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16824, RESELLER; rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16676, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807",-,-,
1626859845,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
1661671913,-,-,Failed,-,-,-,-,-,-,Unable to scrape data.
1607059688,Scary Evil Spooky Teacher 3D!,https://apps.apple.com/us/app/id1607059688,https://0zjc.ads-txt.site/app-ads.txt,True,"google.com, pub-8728712656723745, RESELLER, f08c47fec0942fa0; google.com, pub-8730472332781078, RESELLER; google.com, pub-8730472332781078, RESELLER, f08c47fec0942fa0; google.com, pub-8712365663617930, RESELLER; google.com, pub-8754757843517208, RESELLER; google.com, pub-8728712656723745, RESELLER",-,"rubiconproject.com, 16824, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16824, DIRECT; rubiconproject.com, 16698, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16418, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16834, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16824, RESELLER; rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16676, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807",-,-,
com.Somniumfabri.Nuclearday,Nuclear Day Survival,https://play.google.com/store/apps/details?id=com.Somniumfabri.Nuclearday,https://playflowgames.com/app-ads.txt,True,"google.com,pub-8728712656723745,RESELLER,f08c47fec0942fa0; google.com, pub-8728712656723745, RESELLER",-,"rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16824, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16928,RESELLER, 0bfd66d529a55807; rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16834, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16824, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807",-,-,
com.stoneage.privatesub,Stone Age: Settlement survival,https://play.google.com/store/apps/details?id=com.stoneage.privatesub,https://ent.mamboo.games/app-ads.txt,True,-,-,"rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16414, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16418, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16698, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16824, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16834, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16928,RESELLER, 0bfd66d529a55807",-,-,
com.freemusic.musicplayer.mp3player,Music Player - MP3 Player,https://play.google.com/store/apps/details?id=com.freemusic.musicplayer.mp3player,https://100pilabs.com/app-ads.txt,True,-,-,"rubiconproject.com, 16928, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16356, RESELLER, 0bfd66d529a55807; rubiconproject.com, 16114, RESELLER, 0bfd66d529a55807",-,-,
