TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,programmaticians.com,rightxchange.com,REMARKS
com.mgc.rope.hero,Rope Hero,com.mgc.rope.hero,http://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.vegas.crime.sim.two,Vegas Crime Simulator 2,com.vegas.crime.sim.two,https://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.psvn.traumatologist,Emergency Hospital:Kids Doctor,com.psvn.traumatologist,https://psvgamestudio.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.eg.deathpark2,Death Park 2: Horror Clown,com.eg.deathpark2,http://euphoriagames.ru/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.evertechsandbox,Evertech Sandbox,com.evertechsandbox,https://evertechsandbox.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.nc.robot.car,Robot Car,com.nc.robot.car,https://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.naxeexllc.stickman.superhero,Stick Superhero,com.naxeexllc.stickman.superhero,https://naxeex.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.swordjelly.ninja,Ninja sword: Fighting game 3D,com.swordjelly.ninja,https://psvgamestudio.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.eg.antarctica88,Antarctica 88: Survival Horror,com.eg.antarctica88,http://euphoriagames.ru/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.metajoy.puzzlegame.dragnmerge,Drag n Merge: Block Puzzle,com.metajoy.puzzlegame.dragnmerge,https://www.metajoy.io/app-ads.txt,True,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER; programmaticians.com,PMVDO101,DIRECT","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
com.dressup.avatar.yoyo.doll,YOYO Doll: Kids Dress Up Game,com.dressup.avatar.yoyo.doll,http://www.yoyogame.top/app-ads.txt,False,"programmaticians.com,PMVDO101,DIRECT",-,
and.brainworks.nummatch,NumMatch: Logic Puzzle,and.brainworks.nummatch,https://matchgames.io/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT",-,
com.puzzledom.differencefindtour,Difference Find Tour,com.puzzledom.differencefindtour,https://www.metajoy.io/app-ads.txt,True,"programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER; programmaticians.com,PMVDO101,DIRECT","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
com.sweetgames.screwpin.an,-,com.sweetgames.screwpin.an,-,-,-,-,App not found(404).
com.Zonmob.Stickman.FightingGames.ShadowOfDeath,Shadow of Death: Dark Knight,com.Zonmob.Stickman.FightingGames.ShadowOfDeath,https://bravehk.com/app-ads.txt,True,"programmaticians.com,PMVDO101,DIRECT; programmaticians.com, PMCMRSL101, RESELLER; programmaticians.com, PMCMRSL102, RESELLER; programmaticians.com, PMCMRSL100, RESELLER; programmaticians.com, PMRE100, RESELLER","rightxchange.com, RECMRSL100, RESELLER; rightxchange.com, RECMRSL101, RESELLER; rightxchange.com, RXRE100, RESELLER",
com.Hippo.GoodMorning,Good morning. Educational game,com.Hippo.GoodMorning,https://psvgamestudio.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.PSVStudio.Airport2,Airport Adventure 2,com.PSVStudio.Airport2,https://psvgamestudio.com/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
com.ShivajiGames.IndianBikeAndCarGame,Indian Bikes And Cars Game 3D,com.ShivajiGames.IndianBikeAndCarGame,http://cas.ai/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
ru.subprogram.guitarsongs.vint,Guitar Songs,ru.subprogram.guitarsongs.vint,https://en.guitarsongs.club/app-ads.txt,True,"programmaticians.com, PMVDO101, DIRECT",-,
