TARGET,APP_NAME,URL,ADS.TXT,IS HTTPS?,hindsightsolutions.net,"pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807",programmaticians.com,prosegments.com,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",REMARKS
1026575503,TVBAnywhere North America,1026575503,https://www.tvbanywherena.com/app-ads.txt,True,"hindsightsolutions.net, 346, DIRECT; hindsightsolutions.net, 323-b5616, DIRECT, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5616, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 305, DIRECT; hindsightsolutions.net, 346, DIRECT","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace",-,-,-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
com.graymatrix.did,"ZEE5: Movies, TV Shows, Series",com.graymatrix.did,https://www.zee5.com/app-ads.txt,True,"hindsightsolutions.net, 22652678936, RESELLER; hindsightsolutions.net, 22655109307, RESELLER; hindsightsolutions.net, 22652678936, RESELLER; hindsightsolutions.net, 22655109307, RESELLER",-,-,-,-,-,-,
321916506,Classic Words With Friends,321916506,https://www.zynga.com/app-ads.txt,True,"hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, HSINMOBI100000, RESELLER","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807","programmaticians.com, PMCMRSL101, RESELLER",-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
743691886,"ZEE5 Movies, Web Series, Shows",743691886,https://www.zee5.com/app-ads.txt,True,"hindsightsolutions.net, 22652678936, RESELLER; hindsightsolutions.net, 22655109307, RESELLER; hindsightsolutions.net, 22652678936, RESELLER; hindsightsolutions.net, 22655109307, RESELLER",-,-,-,-,-,-,
1196764367,Words With Friends Word Game,1196764367,https://www.zynga.com/app-ads.txt,True,"hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, HSINMOBI100000, RESELLER","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807","programmaticians.com, PMCMRSL101, RESELLER",-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
com.tvbusa.encore,TVBAnywhere North America,com.tvbusa.encore,http://www.TVBAnywhereNA.com/app-ads.txt,True,"hindsightsolutions.net, 346, DIRECT; hindsightsolutions.net, 323-b5616, DIRECT, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5616, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 305, DIRECT; hindsightsolutions.net, 346, DIRECT","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace",-,-,-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
1491129492,Baseball Clash: Real-time game,1491129492,http://www.miniclip.com/app-ads.txt,True,"hindsightsolutions.net ,323-b5738 ,RESELLER ,20e30b2ae1f670f2; hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace",-,"rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807",-,-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
366247306,▻Sudoku,366247306,https://www.peoplefun.com/app-ads.txt,True,"hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net,323-b5738,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net,323-b5738,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net,323-b5850,RESELLER,20e30b2ae1f670f2","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace; pubmatic.com, 163683, RESELLER, 5d62403b186f2ace; pubmatic.com, 163683, RESELLER, 5d62403b186f2ace; pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807; rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807; rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807",-,-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
500962489,Spider ▻ Solitaire,500962489,https://www.peoplefun.com/app-ads.txt,True,"hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net,323-b5738,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net,323-b5738,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net,323-b5850,RESELLER,20e30b2ae1f670f2","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace; pubmatic.com, 163683, RESELLER, 5d62403b186f2ace; pubmatic.com, 163683, RESELLER, 5d62403b186f2ace; pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807; rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807; rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807",-,-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
1207472156,Wordscapes,1207472156,https://www.peoplefun.com/app-ads.txt,True,"hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net,323-b5738,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net, 323-b5910, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net,323-b5738,RESELLER,20e30b2ae1f670f2; hindsightsolutions.net, 323-b5738, RESELLER, 20e30b2ae1f670f2; hindsightsolutions.net,323-b5850,RESELLER,20e30b2ae1f670f2","pubmatic.com, 163683, RESELLER, 5d62403b186f2ace; pubmatic.com, 163683, RESELLER, 5d62403b186f2ace; pubmatic.com, 163683, RESELLER, 5d62403b186f2ace; pubmatic.com, 163683, RESELLER, 5d62403b186f2ace","pubmatic.com, 164000, RESELLER, 5d62403b186f2ace","rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807; rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807; rubiconproject.com, 26504, RESELLER, 0bfd66d529a55807",-,-,"sharethrough.com, Ci4D2mLF, RESELLER, d53b998a7bd4ecd2",
